start	end	text
0	5940	Ja
5940	7860	Ja
7860	9640	Ja
9640	9860	Ja
9860	22940	Ja
22940	24920	Ja
24920	28920	omreer jy tenminste iets van programmering weet nie?
28920	30920	Ja, dit helpt. Goed.
30920	35920	Ik maak een opname in ieder geval van dit gesprek.
35920	40920	Dat tekst en dan ga ek dit later straks gebruiken
40920	46920	als info om vir jou als interview.
46920	48920	Maar anyway, vertel, ok?
48920	50920	Dank u, dank u.
50920	54920	Ik heb geen programmeringsachtergrond nie.
54920	58920	Ek is wel baie goed met Excel formules en automatisatie
58920	61920	tot op een sekere punt is in Excel.
61920	64920	En al die jaren heb ek AppSheet gebruikt.
64920	69920	AppSheet is kabelbasis in Excel sheet om in een app met een Google product.
69920	74920	Maar met vandagse white coding en identity coding gedink as AppSheet gaan nageval wegval.
74920	77920	Want die user interface kan jy nie verander nie.
77920	80920	en so is baie limitaties.
80920	82920	En toe white coding op die scene kom te sê,
82920	85920	hier is die antwoord na my gebede.
85920	89920	En want nou kan nou ten nie goed wat jy nooit voering kon doen,
89920	91920	het nie geld voor developers nie.
91920	94920	Nou kan jy jou eigen goed doen, eigen goed bouw,
94920	96920	jy het nie nis nodig om te programmer nie.
96920	100920	Jy het begin rond speel met Google AI Studio,
100920	102920	en vandaar af Antigravity,
102920	106920	wat jy dan op jou DSG installeert.
106920	111920	Langs 2 report, ek het een diesel rebite app,
111920	114920	zo kan verbouw, ek is zo 80 cent klaar geboere,
114920	117920	waar hulle diesel verbruik uitwerk,
117920	120920	en die rapatte wat na Sarshoek versie hier in het bos,
120920	121920	en so aan,
121920	123920	wat is een logboeken transaction,
123920	125920	die van systeem.
125920	128920	Maar wat het toe achtergekom het is,
128920	130920	omrede ek nie codeering ken nie,
130920	132920	hart het my tokens vanaf uit,
132920	135920	want my prompt is nie af die raad nie,
135920	137920	ek sê my prompt is te groot,
137920	138920	en dan,
138920	139920	dan,
139920	140920	dan,
140920	141920	dan,
141920	142920	dan haak hy die telkens uit,
142920	143920	en hy maak foute,
143920	145920	hoe dit achtergekom het met die goede modele sien,
145920	146920	wat hy nie alles breed sien,
146920	147920	maar nog steeds,
147920	149920	het vat zekere goed,
149920	150920	my verskrikkelijk lang,
150920	151920	waar,
151920	153920	iemand wat programmering achtergrond het,
153920	154920	gaan weet,
154920	155920	hy moet na hierdie script toe gaan,
155920	156920	en hy moet daar sê,
156920	158920	het verander dit en dit en dit,
158920	160920	en dan gaan het baie funniger gaan,
160920	162920	en ek het gehoor hier met nieuwe chats,
162920	163920	op maalse chats te lang is,
163920	165920	wat het te veel telkens langs door die kort.
165920	166920	ek het,
166920	168920	ek het a point of sale ook al gebouw,
168920	169920	fantasties,
169920	171920	maar ek weet my goed,
171920	173920	dit is nie die achtergrond 100% recht nie,
173920	175920	en as ek vir kliente iets wil bouw,
175920	177920	wat werk met,
177920	178920	met geld,
178920	180920	ek wil nie geld verloor vir die klient nie,
180920	182920	imagine ek bouw nou a,
182920	183920	a taxidermie app,
183920	184920	en,
184920	186920	iets gebeur met my data basis,
186920	187920	of,
187920	189920	iemand daar skryf oor een ander klient,
189920	190920	en hy verloor,
190920	191920	miljoenen rande,
191920	193920	ek wil nie in soe situatie sit,
193920	195920	die het my bang gemaakt,
195920	196920	om,
196920	197920	om,
197920	199920	om te gaan naar een ontwikkelaar toe,
199920	200920	specifiek iemand wat,
200920	202920	white coding gebruik,
202920	203920	om redactwere het,
203920	205920	van baie geld en tyd spaar,
205920	207920	maar die mens is nie eerlik daarbuiten nie,
207920	208920	nie hulle maak,
208920	209920	asof hulle nou alles van vooraf,
209920	210920	die goede,
210920	211920	die goede sit,
